Asset ID,Asset Type,Purchase Date,Lifecycle Status,Maintenance Cost,Replacement Cost
A1,Printer,2022-01-26,Retired,4791.18,7617.17
A2,Laptop,2019-10-14,In Maintenance,2107.37,7292.71
A3,Printer,2024-02-13,Active,179.78,3695.11
A4,Router,2019-10-03,Disposed,4988.3,7164.77
A5,Router,2021-01-21,Retired,1876.14,9876.08
A6,Server,2022-02-22,Active,949.83,1194.92
A7,Printer,2023-09-19,Retired,2394.12,2845.8
A8,Switch,2021-08-15,Active,290.28,9393.05
A9,Switch,2020-12-17,Active,1659.97,4794.31
A10,Laptop,2022-01-04,Disposed,2586.35,9798.85
A11,Switch,2021-04-23,Disposed,2657.81,4177.15
A12,Laptop,2023-01-26,In Maintenance,4035.16,4419.99
A13,Printer,2022-09-06,Disposed,212.57,4501.0
A14,Desktop,2024-02-14,Active,1780.79,5699.79
A15,Laptop,2021-09-23,Active,925.33,1157.38
A16,Desktop,2019-11-16,Active,3045.95,4201.81
A17,Desktop,2023-10-07,Active,1821.77,5421.48
A18,Laptop,2021-05-16,Active,3626.38,6813.47
A19,Router,2023-09-09,Disposed,3017.58,5755.57
A20,Desktop,2020-06-18,Active,1660.43,7946.39
A21,Server,2021-10-29,Retired,181.42,2036.43
A22,Router,2024-01-22,Disposed,3860.72,2480.8
A23,Switch,2021-04-22,Retired,4258.51,5809.02
A24,Switch,2022-02-18,Retired,1205.49,3634.62
A25,Printer,2023-02-26,Active,1551.2,6638.43
A26,Printer,2020-01-16,Disposed,4135.85,4296.41
A27,Router,2023-07-10,In Maintenance,824.2,9466.35
A28,Router,2023-10-04,Active,2660.48,9065.85
A29,Router,2020-08-18,Disposed,2810.58,4471.41
A30,Desktop,2023-04-28,Disposed,3301.87,5874.21
A31,Printer,2020-05-25,In Maintenance,2262.67,9293.22
A32,Router,2020-07-15,Retired,2183.49,8626.01
A33,Desktop,2021-03-15,Disposed,2680.21,4400.53
A34,Printer,2023-03-16,Disposed,1634.14,7866.28
A35,Server,2019-09-27,Active,3059.38,9488.44
A36,Router,2022-06-16,Retired,110.32,3631.06
A37,Printer,2024-01-24,Active,4519.26,9307.1
A38,Switch,2022-07-02,Active,3771.0,4974.29
A39,Switch,2020-08-24,Retired,3566.0,6993.62
A40,Switch,2022-02-26,Retired,514.06,9556.53
A41,Printer,2024-05-10,In Maintenance,165.02,966.63
A42,Router,2020-12-20,In Maintenance,4191.38,8724.39
A43,Laptop,2019-12-02,Disposed,2453.88,8678.44
A44,Laptop,2022-02-10,Active,4400.13,1992.02
A45,Server,2021-03-27,Active,2130.69,9652.59
A46,Laptop,2023-06-25,Active,3752.1,9102.08
A47,Desktop,2023-07-02,In Maintenance,294.98,5126.39
A48,Switch,2020-05-04,Disposed,416.89,1774.25
A49,Router,2021-01-05,Retired,1612.78,527.22
A50,Desktop,2023-02-03,Active,3845.13,2818.79
A51,Laptop,2019-08-31,Retired,1671.53,3446.57
A52,Desktop,2022-04-08,Retired,821.75,4469.95
A53,Router,2023-07-01,Active,3556.69,7211.04
A54,Router,2022-06-29,Disposed,135.09,5921.01
A55,Laptop,2023-03-06,Retired,195.51,2127.47
A56,Router,2021-01-17,In Maintenance,3676.17,1636.08
A57,Laptop,2020-09-27,Disposed,2099.52,8093.27
A58,Laptop,2020-08-04,Retired,3987.1,5747.86
A59,Switch,2022-07-10,Retired,1782.96,4774.72
A60,Router,2019-11-26,Disposed,1840.5,1290.74
A61,Printer,2021-04-06,Retired,1594.66,6764.19
A62,Router,2022-05-27,Active,3826.15,1344.22
A63,Printer,2024-01-05,Active,1771.02,2703.93
A64,Router,2022-11-19,In Maintenance,4079.04,4066.43
A65,Router,2023-01-22,Retired,2893.78,4403.37
A66,Laptop,2020-05-04,Disposed,3085.38,2689.56
A67,Router,2023-12-18,Active,2123.0,8021.22
A68,Laptop,2022-09-06,In Maintenance,511.26,5845.86
A69,Printer,2022-09-24,Disposed,3368.38,1685.32
A70,Server,2019-10-17,In Maintenance,2320.39,5189.81
A71,Laptop,2022-12-03,Retired,1222.02,4715.65
A72,Router,2023-07-03,Disposed,4201.2,3852.79
A73,Desktop,2023-04-01,Disposed,1447.05,3729.02
A74,Switch,2021-11-26,Active,2319.87,5227.83
A75,Desktop,2020-05-15,Active,3731.48,1835.86
A76,Switch,2019-07-31,In Maintenance,2299.36,9835.02
A77,Server,2024-05-21,Disposed,3755.81,6194.48
A78,Printer,2023-05-04,Disposed,3168.09,8103.28
A79,Desktop,2024-04-04,Retired,2880.46,6521.63
A80,Server,2022-04-13,Disposed,2005.47,7052.36
A81,Printer,2024-05-09,Active,4696.69,8535.23
A82,Laptop,2024-04-22,In Maintenance,3182.05,2994.26
A83,Server,2022-10-21,Active,118.55,6260.17
A84,Router,2021-04-15,In Maintenance,564.31,7018.16
A85,Router,2021-08-11,Active,2343.6,8346.94
A86,Router,2023-09-28,Active,4983.75,3209.52
A87,Printer,2020-01-01,In Maintenance,208.68,7961.8
A88,Printer,2021-09-14,Active,3232.62,5442.72
A89,Server,2024-05-05,Disposed,3244.7,7132.54
A90,Printer,2020-07-31,Retired,4374.8,1637.51
A91,Laptop,2022-07-09,In Maintenance,2010.11,4293.28
A92,Router,2024-06-17,Retired,157.79,2617.3
A93,Server,2020-01-09,Active,3015.76,8926.22
A94,Printer,2022-05-19,In Maintenance,726.25,2211.92
A95,Server,2021-04-26,Retired,3432.58,1404.69
A96,Router,2023-04-25,Retired,2232.67,3200.71
A97,Laptop,2023-04-09,Retired,853.91,2171.75
A98,Router,2020-06-11,In Maintenance,3431.77,2796.18
A99,Switch,2020-11-30,Retired,2082.02,3330.89
A100,Switch,2020-03-01,In Maintenance,922.58,6666.23
A101,Router,2022-03-04,Disposed,220.26,8436.04
A102,Router,2024-06-20,Active,3129.67,5512.34
A103,Router,2023-03-21,In Maintenance,4873.9,4716.59
A104,Printer,2023-12-08,Retired,4363.4,4848.88
A105,Printer,2021-04-17,Active,817.53,1914.09
A106,Router,2023-06-17,In Maintenance,4221.42,2704.11
A107,Router,2024-06-11,In Maintenance,3478.55,1460.2
A108,Server,2022-08-24,Active,3961.4,3396.33
A109,Switch,2022-03-23,Disposed,3266.3,6364.86
A110,Printer,2020-04-18,Retired,1416.97,9797.08
A111,Switch,2023-07-16,In Maintenance,1272.04,9817.79
A112,Laptop,2023-07-02,In Maintenance,2135.72,3290.46
A113,Switch,2022-08-14,Retired,685.09,7931.74
A114,Printer,2021-01-05,Active,757.38,6780.92
A115,Printer,2021-05-18,In Maintenance,906.03,787.61
A116,Switch,2020-12-26,Disposed,1294.81,8240.69
A117,Router,2019-10-25,In Maintenance,937.63,2579.82
A118,Router,2022-11-26,Disposed,3767.63,1593.96
A119,Printer,2020-11-29,Active,942.39,3809.82
A120,Router,2023-05-19,Disposed,3656.96,2566.57
A121,Desktop,2020-11-05,In Maintenance,4591.38,5841.35
A122,Switch,2022-08-07,In Maintenance,2716.8,3895.3
A123,Laptop,2024-07-08,In Maintenance,1262.41,5099.39
A124,Server,2019-07-28,Disposed,387.02,9675.61
A125,Switch,2024-02-02,Active,566.87,4522.3
A126,Router,2020-05-10,Retired,1785.55,4326.23
A127,Printer,2019-10-25,Retired,4239.65,626.51
A128,Desktop,2019-08-07,Retired,4476.49,3590.06
A129,Laptop,2021-03-18,Retired,1929.7,5720.08
A130,Server,2022-10-29,Disposed,3253.3,4607.96
A131,Server,2023-10-12,In Maintenance,562.1,2714.38
A132,Printer,2023-03-31,Retired,3302.29,4189.18
A133,Switch,2024-05-08,Retired,232.87,9572.5
A134,Switch,2020-10-31,Disposed,504.68,1431.78
A135,Printer,2024-01-07,In Maintenance,1129.31,4432.57
A136,Desktop,2022-10-25,Disposed,764.29,2967.25
A137,Router,2020-10-29,In Maintenance,1872.24,2833.97
A138,Printer,2022-05-29,Disposed,4837.03,5872.26
A139,Laptop,2023-09-06,Active,392.11,4047.01
A140,Laptop,2019-07-26,Disposed,3317.74,7334.14
A141,Printer,2023-04-09,In Maintenance,4312.81,1422.09
A142,Laptop,2019-08-12,In Maintenance,2671.68,1133.74
A143,Printer,2023-09-07,Active,3016.16,6437.31
A144,Laptop,2021-08-11,Retired,705.12,6630.59
A145,Switch,2021-04-28,Retired,1949.8,549.03
