,ID,Component_Type,Manufacturer,Installation_Date,Traffic_Load,CPU_Usage,Memory_Usage,Temperature,Failure_Type,Failure_Timestamp,Failure_Duration_Hours,Maintenance_Activity,Maintenance_Date,Maintenance_Cost
0,N1,load balancer,Cisco,2017-09-20,14.793688334681242,98.6849858366734,86.50672177545023,27.58091713241932,hardware,2023-01-28,20,inspection,2022-10-08,989.8787179528754
1,N2,firewall,Cisco,2014-12-16,8.401735665408172,94.04587115048649,21.52061340420175,37.43390727331252,configuration,2023-05-10,3,inspection,2023-12-29,375.04368109369256
2,N3,load balancer,Dell,2013-10-17,55.540109600247135,62.38728793187301,51.77001081994865,31.115325066417203,software,2023-04-28,23,upgrade,2022-10-01,786.4702488468982
3,N4,switch,HP,2013-02-09,45.82184476780979,38.58166777976961,80.36605803460189,46.51782068045593,hardware,2022-09-29,19,repair,2022-12-07,898.5264657019319
4,N5,firewall,Dell,2013-09-29,92.58237092466956,10.666094788593961,89.99741682226394,18.900331932373916,hardware,2022-07-18,1,upgrade,2023-09-24,276.16245538956207
5,N6,load balancer,Cisco,2011-08-03,57.90077922504258,42.8653489297648,82.04520840752151,19.714776041774112,configuration,2023-04-07,18,upgrade,2022-02-13,304.0596980949906
6,N7,firewall,HP,2016-07-22,3.327434510733629,90.29955829602109,65.66142663294144,20.806854130043543,hardware,2022-09-23,15,inspection,2023-08-29,863.5527210595245
7,N8,load balancer,Dell,2011-04-25,21.081387628903258,54.87453053682967,86.32367282235496,20.66035744609611,configuration,2022-01-22,5,inspection,2022-09-08,493.63906533855703
8,N9,router,Juniper,2012-08-26,1.6958481545785498,44.70980574899267,73.12396715452489,28.766554094788617,configuration,2023-02-14,10,repair,2022-11-20,413.8735980921458
9,N10,switch,HP,2017-08-23,98.90183607449052,59.10050308572924,4.531991344336605,5.700800228886366,software,2022-02-25,13,upgrade,2023-07-29,994.2719991092034
10,N11,load balancer,HP,2011-04-27,21.37874144494304,95.50490095459321,75.72899757814055,10.981516232882822,hardware,2023-10-24,8,inspection,2023-06-01,752.3581490086134
11,N12,load balancer,Juniper,2010-04-23,72.40959075230873,3.586948257531397,16.788476685254373,16.257229165370347,hardware,2022-05-27,8,repair,2022-06-13,403.7451020336834
12,N13,switch,Cisco,2012-09-13,29.573954105640777,87.15054415770119,25.330084480645652,45.92741642863281,software,2022-03-03,11,inspection,2022-05-02,957.3658442351622
13,N14,load balancer,Juniper,2010-04-23,29.78759994140058,24.43169754206309,19.1444182750071,25.12505961991395,software,2022-12-04,10,upgrade,2022-09-21,276.1386065333196
14,N15,load balancer,Juniper,2010-08-11,64.7656911628143,80.77971583194521,35.89902548694525,39.465817268933165,software,2023-01-12,6,repair,2023-09-11,827.6725207039951
15,N16,load balancer,Dell,2016-10-14,55.77709249569158,85.06563037876774,99.48527931546711,32.208444293007595,configuration,2023-02-04,18,repair,2023-09-16,832.2725719418262
16,N17,load balancer,Dell,2011-02-14,43.51606859268876,88.67229824176025,22.47620885911269,14.225261177426102,software,2023-11-25,14,upgrade,2023-12-26,955.2143264010087
17,N18,router,Cisco,2010-08-04,34.76000937853231,99.12416068144256,82.7576243878434,28.801002506566505,configuration,2023-01-18,6,repair,2023-09-12,300.0686131326595
18,N19,switch,Dell,2012-11-08,54.63540575501109,6.145704381353012,82.83546264980069,19.9655419173242,software,2023-10-18,15,upgrade,2022-01-20,276.7705934751615
19,N20,router,Cisco,2016-02-26,22.65664783577406,53.03240593328818,61.06409762636964,32.89457624652885,software,2023-08-06,11,upgrade,2023-01-07,195.95124523609132
20,N21,switch,Dell,2012-10-10,3.514657341954186,24.591909448262516,69.60161861923929,11.91042184365938,software,2023-09-10,21,upgrade,2022-07-20,771.1143743652067
21,N22,load balancer,HP,2010-06-28,57.99721182340014,46.28776804736611,84.93081218495747,18.207038165681084,configuration,2022-04-29,5,repair,2022-03-19,545.6786174900083
22,N23,firewall,Cisco,2010-05-24,26.16907258920569,43.31579744625584,98.69162398559088,2.269199734389632,software,2023-03-11,22,inspection,2022-07-15,848.780716834293
23,N24,firewall,HP,2017-03-18,46.456024134455895,61.73265868509592,98.45221136020399,44.71640952309418,configuration,2022-04-30,4,upgrade,2023-05-05,892.7081276516528
24,N25,switch,Juniper,2013-06-21,14.695137116281586,22.5589866329178,35.385989950246056,48.03355554586897,hardware,2023-07-04,2,upgrade,2023-06-08,615.4499390632728
25,N26,switch,Juniper,2018-02-17,20.42071576777159,34.50814322062552,67.8536725169943,42.58891750155156,hardware,2023-02-04,10,inspection,2023-10-05,538.4250532275369
26,N27,firewall,HP,2015-10-04,39.08131426607772,91.13253688775792,46.726201699413316,11.442303983982377,software,2023-04-22,20,upgrade,2022-08-21,656.7680608604907
27,N28,router,Cisco,2012-05-21,67.82007852151676,58.915860175696054,17.849356237697922,20.65017509684633,software,2022-09-14,14,upgrade,2022-05-20,245.73066948721663
28,N29,switch,Juniper,2012-06-09,0.44843807096786037,29.25766660752017,73.56401150166975,35.93435663692914,configuration,2023-04-20,19,inspection,2023-05-29,917.720491445364
29,N30,load balancer,Dell,2014-05-25,96.5077989000895,37.93678771864265,26.67718977426039,44.753121745350654,configuration,2023-11-07,11,inspection,2023-01-06,711.5778282124467
30,N31,switch,HP,2015-01-02,8.98652055089787,84.0981743764192,43.66767621902833,21.243649630801194,software,2023-04-26,11,inspection,2023-11-06,641.5988738864157
31,N32,firewall,Juniper,2017-04-18,26.330371110537598,60.190300492859315,69.68442134377962,26.08451211029406,configuration,2023-11-09,11,repair,2022-05-23,350.08598461292615
32,N33,load balancer,HP,2018-03-13,40.572092231648845,74.03183734794254,85.29876529387866,18.7260864547144,software,2023-09-05,11,inspection,2022-11-08,401.5703013068241
33,N34,load balancer,Juniper,2015-01-06,25.261383485773635,92.44237988316138,49.96611219189647,43.94613959322323,software,2022-01-13,19,upgrade,2022-01-08,339.25861853079556
34,N35,load balancer,HP,2013-12-05,69.11938535561704,79.66816153208016,83.39072898440958,2.9091078907134857,configuration,2023-06-22,5,upgrade,2023-05-14,592.8501638628338
35,N36,router,Cisco,2018-01-10,28.178477801464872,76.44459794497979,17.145408548360297,12.949973737324145,configuration,2022-03-26,5,inspection,2022-12-27,866.8747904600323
36,N37,firewall,HP,2016-05-19,74.3537103294965,69.58324394413279,82.74342101441374,30.911033453411935,configuration,2023-02-23,17,inspection,2023-08-30,943.8607035047686
37,N38,switch,Juniper,2011-10-25,73.54989873225097,94.94519973681584,19.919638024547424,7.715221402272432,hardware,2023-01-10,19,inspection,2022-08-04,180.74876648783794
38,N39,router,Juniper,2012-08-22,37.33568117201307,43.63410790377902,66.71506875270113,17.11710652760386,configuration,2022-06-08,19,inspection,2022-08-08,864.5326056101384
39,N40,router,Juniper,2016-10-19,0.30048068830301755,85.11537661256297,42.606963831537094,19.271722616677028,hardware,2023-06-18,3,inspection,2023-12-18,271.78639210187526
40,N41,firewall,Juniper,2010-10-18,48.73617562101259,65.25395797148381,66.19057180858049,43.714663397715526,software,2023-05-05,18,upgrade,2023-09-15,955.4872993465805
41,N42,router,Juniper,2010-07-25,34.20877105744216,55.36288693102265,95.22111393154803,1.6466430926610376,configuration,2023-04-01,22,repair,2023-02-05,974.4528949525625
42,N43,switch,Cisco,2012-08-05,78.21495162811203,84.68455252092267,36.25024242257746,31.55515719990235,software,2022-07-20,10,repair,2022-03-19,875.7881134912889
43,N44,switch,HP,2015-08-10,19.227459413539407,73.97017156161957,39.92954094304304,8.630916849460757,configuration,2022-04-03,12,upgrade,2022-12-14,683.759836390354
44,N45,load balancer,Dell,2011-06-05,44.34254890410689,1.7027643672631987,54.02151769042912,49.20288977287639,hardware,2022-06-30,18,inspection,2022-01-25,353.4444395875578
45,N46,firewall,Dell,2015-09-04,46.65544065960319,4.389125443898367,18.129820485000046,6.148633751779825,configuration,2022-05-04,22,repair,2022-10-04,816.2911152360231
46,N47,load balancer,Dell,2012-01-29,45.9449721643157,27.16315084883938,57.000544135129395,21.771705451011687,hardware,2023-04-28,22,upgrade,2023-07-20,799.2468605129801
47,N48,router,Juniper,2011-01-05,2.053791781176084,26.259232349019435,72.80864135693065,12.276480955947688,configuration,2023-07-10,2,inspection,2023-09-14,311.25997434486646
48,N49,switch,Cisco,2013-09-19,28.324569371812448,46.00115264099688,75.79844754472485,48.09806566241595,configuration,2022-07-12,3,repair,2022-11-07,826.0299814754433
49,N50,firewall,HP,2017-08-11,73.10383129688884,20.4294655558658,22.374806233801504,5.865299943882746,software,2022-05-02,2,repair,2022-08-31,142.14621010785854
50,N51,router,HP,2011-10-19,97.88698473935139,60.79683577011274,85.64056639069845,12.407478060035942,configuration,2022-01-25,23,upgrade,2023-05-18,343.2352949407449
51,N52,switch,HP,2013-07-20,72.85297256666193,38.814969708858825,43.28383634624503,14.263198346718426,software,2023-12-27,13,repair,2023-10-04,975.3129220295888
